Question,Answer,Context
What were the significant developments in nuclear medicine between 1910 and 1945?,"Between 1910 and 1945, the biologic foundations for nuclear medicine were laid down. In 1913, Georg de Hevesy developed the principles of the tracer approach, and in 1923, he was the first to apply it to a biological system by studying the absorption and translocation of radioactive lead nitrate in plants. The first human study employing radioactive tracers was likely conducted by Blumgart and Weiss in 1927, where they injected an aqueous solution of radon intravenously and measured the transit time of the radioactivity distribution.","the history of nuclear medicine is a complex topic, involving contributions from a large number of scientists, engineers, and physicians. A complete overview is well beyond the scope of this book; however, a few highlights serve to place the development of nuclear medicine in its appropriate historical context.The origins of nuclear medicine1 can be traced back to the last years of the 19th century and the discovery of radioactivity by Henri Becquerel (1896) and of radium by Marie Curie (1898). These developments came close on the heels of the discovery of x rays in 1895 by Wilhelm Roentgen. Both x rays and radium sources were quickly adopted for medical applications and were used to make shadow images in which the radiation was transmitted through the body and onto photo-graphic plates. This allowed physicians to see 2 Physics in Nuclear Medicineinside the human body noninvasively for the rst time and was particularly useful for the imaging of bone. X rays soon became the method of choice for producing radiographs because images could be obtained more quickly and with better contrast than those provided by radium or other naturally occurring radio-nuclides that were available at that time. Although the eld of diagnostic x-ray imaging rapidly gained acceptance, nuclear medicine had to await further developments.The biologic foundations for nuclear medi-cine were laid down between 1910 and 1945. In 1913, Georg de Hevesy developed the prin-ciples of the tracer approach2 and was the rst to apply them to a biologic system in 1923, studying the absorption and transloca-tion of radioactive lead nitrate in plants.3 The rst human study employing radioactive tracers was probably that of Blumgart and Weiss (1927),4 who injected an aqueous solu-tion of radon intravenously and measured the transit time of the radioactivity distribution, with a true three-dimensional representa-tion. This allowed the development of PET by Phelps and colleagues10 and SPECT by Kuhl and colleagues11 during the 1970s and marked the start of the modern era of nuclear medicine.D. CURRENT PRACTICE OF NUCLEAR MEDICINENuclear medicine is used for a wide variety of diagnostic tests. There were roughly 100 dif-ferent diagnostic imaging procedures avail-able in 2006.* These procedures use many different radiolabeled compounds, cover all the major organ systems in the body, and provide many different measures of biologic function. Table 1-1 lists some of the more common clinical procedures.As of 2008, more than 30 million nuclear medicine imaging procedures were performed on a global basis. There are more than 20,000 nuclear medicine cameras capable of imaging gamma-ray-emitting radionuclides installed in hospitals across the world. Even many small hospitals have their own nuclear medi-cine clinic. There also were more"
What were the key developments that established nuclear medicine as a diagnostic tool in the 1950s and 1960s?,"The 1950s saw the development of the rectilinear scanner by Benedict Cassen in 1951 and the Anger gamma camera by Hal Anger in 1958, which allowed imaging the distribution of radionuclides in the human body. In 1964, the use of 99mTc for imaging by Paul Harper and colleagues was a major turning point, as 99mTc had excellent properties for imaging and could be used to label a wide variety of compounds, enabling targeted nuclear medicine studies.","1  What Is Nuclear Medicine?3 FIGURE 1-1 Ernest O. Lawrence standing next to the cyclotron he invented at Berkeley, California. (From Myers WG, Wagner HN: Nuclear medicine: How it began. Hosp Pract 9:103-113, 1974.) FIGURE 1-2 Left, Benedict Cassen with his rectilinear scanner (1951), a simple scintillation counter (see Chapter 7) that scans back and forth across the patient. Right, Thyroid scans from an early rectilinear scanner following admin-istration of 131I. The output of the scintillation counter controlled the movement of an ink pen to produce the rst nuclear medicine images. (Left, Courtesy William H. Blahd, MD; with permission of Radiology Centennial, Inc. Right, From Cassen B, Curtis L, Reed C, Libby R: Instrumentation for 131I use in medical studies. Nucleonics 9:46-50, 1951.) isotopes in quantities sufcient for medical applications.The 1950s saw the development of technol-ogy that allowed one to obtain images of the distribution of radionuclides in the human body rather than just counting at a few mea-surement points. Major milestones included the development of the rectilinear scanner in 1951 by Benedict Cassen6 (Fig. 1-2) and the Anger camera, the forerunner of all modern nuclear medicine single-photon imaging systems, developed in 1958 by Hal Anger (Fig. 1-3).7 In 1951, the use of positron emitters and the advantageous imaging properties of these radionuclides also were described by Wrenn and coworkers.8Until the early 1960s, the edgling eld of nuclear medicine primarily used 131I in the study and diagnosis of thyroid disorders and an assortment of other radionuclides that were individually suitable for only a few spe-cic organs. The use of 99mTc for imaging in of radiolabeled compounds, allows nuclear medicine studies to be targeted to the very specic 4 Physics in Nuclear Medicine FIGURE 1-3 Left, Hal Anger with the rst gamma camera in 1958. Right, 99mTc-pertechnetate brain scan of a patient with glioma at Vanderbilt University Hospital (1971). Each image represents a different view of the head. The glioma is indicated by an arrow in one of the views. In the 1960s, this was the only noninvasive test that could provide images showing pathologic conditions inside the human brain. These studies played a major role in establishing nuclear medi-cine as an integral part of the diagnostic services in hospitals. (Left, From Myers WG: The Anger scintillation camera becomes of age. J Nucl Med 20:565-567, 1979. Right, Courtesy Dennis D. Patton, MD, University of Arizona, Tucson, Arizona.) 1964 by Paul Harper and colleagues9 changed this and was a major turning point for the development of nuclear medicine. The gamma rays emitted by 99mTc had very good proper-ties for imaging. It also proved to be very exible for labeling a wide variety of"
"What were the limitations of nuclear medicine before the introduction of 99mTc, and how did 99mTc address these limitations?","Before the introduction of 99mTc, nuclear medicine primarily used 131I for thyroid disorders and a few other radionuclides suitable for specific organs. The use of radionuclides was limited, and there was a lack of versatile and targeted imaging agents. The introduction of 99mTc in 1964 by Paul Harper and colleagues addressed these limitations by providing a radionuclide with excellent imaging properties and the ability to label a wide range of compounds. This allowed for targeted nuclear medicine studies and expanded the diagnostic capabilities of the field.","1  What Is Nuclear Medicine?3 FIGURE 1-1 Ernest O. Lawrence standing next to the cyclotron he invented at Berkeley, California. (From Myers WG, Wagner HN: Nuclear medicine: How it began. Hosp Pract 9:103-113, 1974.) FIGURE 1-2 Left, Benedict Cassen with his rectilinear scanner (1951), a simple scintillation counter (see Chapter 7) that scans back and forth across the patient. Right, Thyroid scans from an early rectilinear scanner following admin-istration of 131I. The output of the scintillation counter controlled the movement of an ink pen to produce the rst nuclear medicine images. (Left, Courtesy William H. Blahd, MD; with permission of Radiology Centennial, Inc. Right, From Cassen B, Curtis L, Reed C, Libby R: Instrumentation for 131I use in medical studies. Nucleonics 9:46-50, 1951.) isotopes in quantities sufcient for medical applications.The 1950s saw the development of technol-ogy that allowed one to obtain images of the distribution of radionuclides in the human body rather than just counting at a few mea-surement points. Major milestones included the development of the rectilinear scanner in 1951 by Benedict Cassen6 (Fig. 1-2) and the Anger camera, the forerunner of all modern nuclear medicine single-photon imaging systems, developed in 1958 by Hal Anger (Fig. 1-3).7 In 1951, the use of positron emitters and the advantageous imaging properties of these radionuclides also were described by Wrenn and coworkers.8Until the early 1960s, the edgling eld of nuclear medicine primarily used 131I in the study and diagnosis of thyroid disorders and an assortment of other radionuclides that were individually suitable for only a few spe-cic organs. The use of 99mTc for imaging in of radiolabeled compounds, allows nuclear medicine studies to be targeted to the very specic 4 Physics in Nuclear Medicine FIGURE 1-3 Left, Hal Anger with the rst gamma camera in 1958. Right, 99mTc-pertechnetate brain scan of a patient with glioma at Vanderbilt University Hospital (1971). Each image represents a different view of the head. The glioma is indicated by an arrow in one of the views. In the 1960s, this was the only noninvasive test that could provide images showing pathologic conditions inside the human brain. These studies played a major role in establishing nuclear medi-cine as an integral part of the diagnostic services in hospitals. (Left, From Myers WG: The Anger scintillation camera becomes of age. J Nucl Med 20:565-567, 1979. Right, Courtesy Dennis D. Patton, MD, University of Arizona, Tucson, Arizona.) 1964 by Paul Harper and colleagues9 changed this and was a major turning point for the development of nuclear medicine. The gamma rays emitted by 99mTc had very good proper-ties for imaging. It also proved to be very exible for labeling a wide variety of"
What was the significance of the discovery of 99mTc in the development of nuclear medicine?,"The discovery of 99mTc by Paul Harper and colleagues in 1964 was a major turning point for the development of nuclear medicine. The gamma rays emitted by 99mTc had very good properties for imaging, and it proved to be highly versatile for labeling a wide variety of compounds that could be used to study virtually every organ in the body. Additionally, 99mTc could be produced in a relatively long-lived generator form, allowing hospitals to have a readily available supply of the radionuclide, making it the most widely used radionuclide in nuclear medicine today.","4 Physics in Nuclear Medicine FIGURE 1-3 Left, Hal Anger with the rst gamma camera in 1958. Right, 99mTc-pertechnetate brain scan of a patient with glioma at Vanderbilt University Hospital (1971). Each image represents a different view of the head. The glioma is indicated by an arrow in one of the views. In the 1960s, this was the only noninvasive test that could provide images showing pathologic conditions inside the human brain. These studies played a major role in establishing nuclear medi-cine as an integral part of the diagnostic services in hospitals. (Left, From Myers WG: The Anger scintillation camera becomes of age. J Nucl Med 20:565-567, 1979. Right, Courtesy Dennis D. Patton, MD, University of Arizona, Tucson, Arizona.) 1964 by Paul Harper and colleagues9 changed this and was a major turning point for the development of nuclear medicine. The gamma rays emitted by 99mTc had very good proper-ties for imaging. It also proved to be very exible for labeling a wide variety of a major turning point for the development of nuclear medicine. The gamma rays emitted by 99mTc had very good proper-ties for imaging. It also proved to be very exible for labeling a wide variety of com-pounds that could be used to study virtually every organ in the body. Equally important, it could be produced in a relatively long-lived generator form, allowing hospitals to have a readily available supply of the radionuclide. Today, 99mTc is the most widely used radionu-clide in nuclear medicine.The nal important development was the mathematics to reconstruct tomographic images from a set of angular views around the patient. This revolutionized the whole eld of medical imaging (leading to CT, PET, SPECT and MRI) because it replaced the two-dimensional representation of the three-dimensional radioactivity distribution, with a true three-dimensional representa-tion. This allowed the development of PET by Phelps and colleagues10 and SPECT by Kuhl and colleagues11 during the 1970s and isotopes in quantities sufcient for medical applications.The 1950s saw the development of technol-ogy that allowed one to obtain images of the distribution of radionuclides in the human body rather than just counting at a few mea-surement points. Major milestones included the development of the rectilinear scanner in 1951 by Benedict Cassen6 (Fig. 1-2) and the Anger camera, the forerunner of all modern nuclear medicine single-photon imaging systems, developed in 1958 by Hal Anger (Fig. 1-3).7 In 1951, the use of positron emitters and the advantageous imaging properties of these radionuclides also were described by Wrenn and coworkers.8Until the early 1960s, the edgling eld of nuclear medicine primarily used 131I in the study and diagnosis of thyroid disorders and an assortment of other radionuclides that were individually suitable for only a few spe-cic organs. The use of 99mTc for imaging in of radiolabeled compounds, allows nuclear medicine studies to be targeted to the very specic"
What was the importance of the development of tomographic image reconstruction techniques in the field of medical imaging?,"The development of mathematical techniques for reconstructing tomographic images from a set of angular views around the patient revolutionized the entire field of medical imaging. This advancement replaced the two-dimensional representation of the three-dimensional radioactivity distribution with a true three-dimensional representation. It enabled the development of advanced imaging modalities such as Computed Tomography (CT), Positron Emission Tomography (PET), and Single-Photon Emission Computed Tomography (SPECT) during the 1970s, providing more accurate and detailed imaging of the human body.","4 Physics in Nuclear Medicine FIGURE 1-3 Left, Hal Anger with the rst gamma camera in 1958. Right, 99mTc-pertechnetate brain scan of a patient with glioma at Vanderbilt University Hospital (1971). Each image represents a different view of the head. The glioma is indicated by an arrow in one of the views. In the 1960s, this was the only noninvasive test that could provide images showing pathologic conditions inside the human brain. These studies played a major role in establishing nuclear medi-cine as an integral part of the diagnostic services in hospitals. (Left, From Myers WG: The Anger scintillation camera becomes of age. J Nucl Med 20:565-567, 1979. Right, Courtesy Dennis D. Patton, MD, University of Arizona, Tucson, Arizona.) 1964 by Paul Harper and colleagues9 changed this and was a major turning point for the development of nuclear medicine. The gamma rays emitted by 99mTc had very good proper-ties for imaging. It also proved to be very exible for labeling a wide variety of a major turning point for the development of nuclear medicine. The gamma rays emitted by 99mTc had very good proper-ties for imaging. It also proved to be very exible for labeling a wide variety of com-pounds that could be used to study virtually every organ in the body. Equally important, it could be produced in a relatively long-lived generator form, allowing hospitals to have a readily available supply of the radionuclide. Today, 99mTc is the most widely used radionu-clide in nuclear medicine.The nal important development was the mathematics to reconstruct tomographic images from a set of angular views around the patient. This revolutionized the whole eld of medical imaging (leading to CT, PET, SPECT and MRI) because it replaced the two-dimensional representation of the three-dimensional radioactivity distribution, with a true three-dimensional representa-tion. This allowed the development of PET by Phelps and colleagues10 and SPECT by Kuhl and colleagues11 during the 1970s and isotopes in quantities sufcient for medical applications.The 1950s saw the development of technol-ogy that allowed one to obtain images of the distribution of radionuclides in the human body rather than just counting at a few mea-surement points. Major milestones included the development of the rectilinear scanner in 1951 by Benedict Cassen6 (Fig. 1-2) and the Anger camera, the forerunner of all modern nuclear medicine single-photon imaging systems, developed in 1958 by Hal Anger (Fig. 1-3).7 In 1951, the use of positron emitters and the advantageous imaging properties of these radionuclides also were described by Wrenn and coworkers.8Until the early 1960s, the edgling eld of nuclear medicine primarily used 131I in the study and diagnosis of thyroid disorders and an assortment of other radionuclides that were individually suitable for only a few spe-cic organs. The use of 99mTc for imaging in of radiolabeled compounds, allows nuclear medicine studies to be targeted to the very specic"
What was the significance of the development of the radioisotope 99mTc for nuclear medicine imaging?,"The development of 99mTc as a radioisotope for nuclear medicine imaging in 1964 was a major turning point. 99mTc had very favorable properties for imaging, such as the emission of gamma rays suitable for imaging and the ability to label a wide variety of compounds to study virtually every organ in the body. Additionally, 99mTc could be produced in a long-lived generator form, allowing hospitals to have a readily available supply. This made 99mTc the most widely used radioisotope in nuclear medicine.","a major turning point for the development of nuclear medicine. The gamma rays emitted by 99mTc had very good proper-ties for imaging. It also proved to be very exible for labeling a wide variety of com-pounds that could be used to study virtually every organ in the body. Equally important, it could be produced in a relatively long-lived generator form, allowing hospitals to have a readily available supply of the radionuclide. Today, 99mTc is the most widely used radionu-clide in nuclear medicine.The nal important development was the mathematics to reconstruct tomographic images from a set of angular views around the patient. This revolutionized the whole eld of medical imaging (leading to CT, PET, SPECT and MRI) because it replaced the two-dimensional representation of the three-dimensional radioactivity distribution, with a true three-dimensional representa-tion. This allowed the development of PET by Phelps and colleagues10 and SPECT by Kuhl and colleagues11 during the 1970s and 4 Physics in Nuclear Medicine FIGURE 1-3 Left, Hal Anger with the rst gamma camera in 1958. Right, 99mTc-pertechnetate brain scan of a patient with glioma at Vanderbilt University Hospital (1971). Each image represents a different view of the head. The glioma is indicated by an arrow in one of the views. In the 1960s, this was the only noninvasive test that could provide images showing pathologic conditions inside the human brain. These studies played a major role in establishing nuclear medi-cine as an integral part of the diagnostic services in hospitals. (Left, From Myers WG: The Anger scintillation camera becomes of age. J Nucl Med 20:565-567, 1979. Right, Courtesy Dennis D. Patton, MD, University of Arizona, Tucson, Arizona.) 1964 by Paul Harper and colleagues9 changed this and was a major turning point for the development of nuclear medicine. The gamma rays emitted by 99mTc had very good proper-ties for imaging. It also proved to be very exible for labeling a wide variety of isotopes in quantities sufcient for medical applications.The 1950s saw the development of technol-ogy that allowed one to obtain images of the distribution of radionuclides in the human body rather than just counting at a few mea-surement points. Major milestones included the development of the rectilinear scanner in 1951 by Benedict Cassen6 (Fig. 1-2) and the Anger camera, the forerunner of all modern nuclear medicine single-photon imaging systems, developed in 1958 by Hal Anger (Fig. 1-3).7 In 1951, the use of positron emitters and the advantageous imaging properties of these radionuclides also were described by Wrenn and coworkers.8Until the early 1960s, the edgling eld of nuclear medicine primarily used 131I in the study and diagnosis of thyroid disorders and an assortment of other radionuclides that were individually suitable for only a few spe-cic organs. The use of 99mTc for imaging in of radiolabeled compounds, allows nuclear medicine studies to be targeted to the very specic"
What was the significance of the development of tomographic image reconstruction techniques?,"The development of mathematical techniques to reconstruct tomographic images from a set of angular views around the patient revolutionized the field of medical imaging. This replaced the two-dimensional representation of the three-dimensional radioactivity distribution with a true three-dimensional representation. This breakthrough allowed the development of Positron Emission Tomography (PET) by Phelps and colleagues, and Single-Photon Emission Computed Tomography (SPECT) by Kuhl and colleagues during the 1970s. It paved the way for other modern medical imaging modalities like CT and MRI.","a major turning point for the development of nuclear medicine. The gamma rays emitted by 99mTc had very good proper-ties for imaging. It also proved to be very exible for labeling a wide variety of com-pounds that could be used to study virtually every organ in the body. Equally important, it could be produced in a relatively long-lived generator form, allowing hospitals to have a readily available supply of the radionuclide. Today, 99mTc is the most widely used radionu-clide in nuclear medicine.The nal important development was the mathematics to reconstruct tomographic images from a set of angular views around the patient. This revolutionized the whole eld of medical imaging (leading to CT, PET, SPECT and MRI) because it replaced the two-dimensional representation of the three-dimensional radioactivity distribution, with a true three-dimensional representa-tion. This allowed the development of PET by Phelps and colleagues10 and SPECT by Kuhl and colleagues11 during the 1970s and 4 Physics in Nuclear Medicine FIGURE 1-3 Left, Hal Anger with the rst gamma camera in 1958. Right, 99mTc-pertechnetate brain scan of a patient with glioma at Vanderbilt University Hospital (1971). Each image represents a different view of the head. The glioma is indicated by an arrow in one of the views. In the 1960s, this was the only noninvasive test that could provide images showing pathologic conditions inside the human brain. These studies played a major role in establishing nuclear medi-cine as an integral part of the diagnostic services in hospitals. (Left, From Myers WG: The Anger scintillation camera becomes of age. J Nucl Med 20:565-567, 1979. Right, Courtesy Dennis D. Patton, MD, University of Arizona, Tucson, Arizona.) 1964 by Paul Harper and colleagues9 changed this and was a major turning point for the development of nuclear medicine. The gamma rays emitted by 99mTc had very good proper-ties for imaging. It also proved to be very exible for labeling a wide variety of isotopes in quantities sufcient for medical applications.The 1950s saw the development of technol-ogy that allowed one to obtain images of the distribution of radionuclides in the human body rather than just counting at a few mea-surement points. Major milestones included the development of the rectilinear scanner in 1951 by Benedict Cassen6 (Fig. 1-2) and the Anger camera, the forerunner of all modern nuclear medicine single-photon imaging systems, developed in 1958 by Hal Anger (Fig. 1-3).7 In 1951, the use of positron emitters and the advantageous imaging properties of these radionuclides also were described by Wrenn and coworkers.8Until the early 1960s, the edgling eld of nuclear medicine primarily used 131I in the study and diagnosis of thyroid disorders and an assortment of other radionuclides that were individually suitable for only a few spe-cic organs. The use of 99mTc for imaging in of radiolabeled compounds, allows nuclear medicine studies to be targeted to the very specic"
"What is the fundamental principle behind nuclear medicine, and what are the key components involved in a typical nuclear medicine study?","The fundamental principle of nuclear medicine involves administering trace amounts of compounds labeled with radioactivity (radionuclides) into the body to provide diagnostic information about various disease states. A typical nuclear medicine study involves injecting a radiolabeled compound, called a radiopharmaceutical or radiotracer, which contains a gamma-ray-emitting or positron-emitting radionuclide. When the radionuclide decays, it emits gamma rays or high-energy photons that can exit the body and be detected by an external, position-sensitive gamma-ray detector, allowing the formation of images.","radioactivity distribution, with a true three-dimensional representa-tion. This allowed the development of PET by Phelps and colleagues10 and SPECT by Kuhl and colleagues11 during the 1970s and marked the start of the modern era of nuclear medicine.D. CURRENT PRACTICE OF NUCLEAR MEDICINENuclear medicine is used for a wide variety of diagnostic tests. There were roughly 100 dif-ferent diagnostic imaging procedures avail-able in 2006.* These procedures use many different radiolabeled compounds, cover all the major organ systems in the body, and provide many different measures of biologic function. Table 1-1 lists some of the more common clinical procedures.As of 2008, more than 30 million nuclear medicine imaging procedures were performed on a global basis. There are more than 20,000 nuclear medicine cameras capable of imaging gamma-ray-emitting radionuclides installed in hospitals across the world. Even many small hospitals have their own nuclear medi-cine clinic. There also were more 1 chapter What Is Nuclear Medicine?A. FUNDAMENTAL CONCEPTSThe science and clinical practice of nuclear medicine involve the administration of trace amounts of compounds labeled with radioac-tivity (radionuclides) that are used to provide diagnostic information in a wide range of disease states. Although radionuclides also have some therapeutic uses, with similar underlying physics principles, this book focuses on the diagnostic uses of radionu-clides in modern medicine.In its most basic form, a nuclear medicine study involves injecting a compound, which is labeled with a gamma-ray-emitting or positron-emitting radionuclide, into the body. The radiolabeled compound is called a radio-pharmaceutical, or more commonly, a tracer or radiotracer. When the radionuclide decays, gamma rays or high-energy photons are emitted. The energy of these gamma rays or photons is such that a signicant number can exit the body without being scattered or attenuated. An external, position-sensitive gamma-ray images are formed by collecting data from many angles around the patient, resulting in PET images.B. THE POWER OF NUCLEAR MEDICINEThe power of nuclear medicine lies in its ability to provide exquisitely sensitive mea-sures of a wide range of biologic processes in the body. Other medical imaging modalities such as magnetic resonance imaging (MRI), x-ray imaging, and x-ray computed tomog-raphy (CT) provide outstanding anatomic images but are limited in their ability to provide biologic information. For example, magnetic resonance methods generally have a lower limit of detection in the millimolar concentration range ( 6  1017 molecules per mL tissue), whereas nuclear medicine studies routinely detect radio labeled substances in the nanomolar ( 6  1011 molecules per mL tissue) or picomolar ( 6  108 molecules per mL tissue) range. This sensitivity advan-tage, together with the ever-growing selection 1"
"What are the key advantages of nuclear medicine over other medical imaging modalities, and what makes it particularly powerful in providing biological information?","The power of nuclear medicine lies in its ability to provide exquisitely sensitive measures of a wide range of biological processes in the body, far surpassing the capabilities of other imaging modalities like MRI, X-ray imaging, and CT, which are primarily limited to providing anatomical information. Nuclear medicine studies routinely detect radiolabeled substances at nanomolar or picomolar concentrations, whereas other methods have a lower limit of detection in the millimolar range. This exceptional sensitivity, combined with the ever-growing selection of radiotracers targeting specific biological processes, enables nuclear medicine to provide invaluable insights into biological function and disease states.","radioactivity distribution, with a true three-dimensional representa-tion. This allowed the development of PET by Phelps and colleagues10 and SPECT by Kuhl and colleagues11 during the 1970s and marked the start of the modern era of nuclear medicine.D. CURRENT PRACTICE OF NUCLEAR MEDICINENuclear medicine is used for a wide variety of diagnostic tests. There were roughly 100 dif-ferent diagnostic imaging procedures avail-able in 2006.* These procedures use many different radiolabeled compounds, cover all the major organ systems in the body, and provide many different measures of biologic function. Table 1-1 lists some of the more common clinical procedures.As of 2008, more than 30 million nuclear medicine imaging procedures were performed on a global basis. There are more than 20,000 nuclear medicine cameras capable of imaging gamma-ray-emitting radionuclides installed in hospitals across the world. Even many small hospitals have their own nuclear medi-cine clinic. There also were more 1 chapter What Is Nuclear Medicine?A. FUNDAMENTAL CONCEPTSThe science and clinical practice of nuclear medicine involve the administration of trace amounts of compounds labeled with radioac-tivity (radionuclides) that are used to provide diagnostic information in a wide range of disease states. Although radionuclides also have some therapeutic uses, with similar underlying physics principles, this book focuses on the diagnostic uses of radionu-clides in modern medicine.In its most basic form, a nuclear medicine study involves injecting a compound, which is labeled with a gamma-ray-emitting or positron-emitting radionuclide, into the body. The radiolabeled compound is called a radio-pharmaceutical, or more commonly, a tracer or radiotracer. When the radionuclide decays, gamma rays or high-energy photons are emitted. The energy of these gamma rays or photons is such that a signicant number can exit the body without being scattered or attenuated. An external, position-sensitive gamma-ray images are formed by collecting data from many angles around the patient, resulting in PET images.B. THE POWER OF NUCLEAR MEDICINEThe power of nuclear medicine lies in its ability to provide exquisitely sensitive mea-sures of a wide range of biologic processes in the body. Other medical imaging modalities such as magnetic resonance imaging (MRI), x-ray imaging, and x-ray computed tomog-raphy (CT) provide outstanding anatomic images but are limited in their ability to provide biologic information. For example, magnetic resonance methods generally have a lower limit of detection in the millimolar concentration range ( 6  1017 molecules per mL tissue), whereas nuclear medicine studies routinely detect radio labeled substances in the nanomolar ( 6  1011 molecules per mL tissue) or picomolar ( 6  108 molecules per mL tissue) range. This sensitivity advan-tage, together with the ever-growing selection 1"
What is the significance of the widespread availability of PET scanners and radiopharmacies in the United States?,"The text highlights that there is now a PET radiopharmacy within 100 miles of approximately 90% of the hospital beds in the United States. This widespread availability of radiopharmacies meets the need for delivering short-lived positron-emitting radiopharmaceuticals required for PET scans, enabling the growth of clinical PET imaging applications across the country.","medicine cameras capable of imaging gamma-ray-emitting radionuclides installed in hospitals across the world. Even many small hospitals have their own nuclear medi-cine clinic. There also were more than 3,000 PET scanners installed in the world perform-ing on the order of 4 million procedures *Data courtesy Society of Nuclear Medicine, Reston, Virginia.Data courtesy Siemens Molecular Imaging, Hoffman Estates, Illinois. 1  What Is Nuclear Medicine?5 annually. The short half-lives of the most commonly used positron-emitting radionu-clides require an onsite accelerator or deliv-ery of PET radiopharmaceuticals from regional radiopharmacies. To meet this need, there is now a PET radiopharmacy within 100 miles of approximately 90% of the hospital beds in the United States. The growth of clinical PET has been driven by the utility of a metabolic tracer, 18F-uorodeoxyglucose, which has widespread applications in cancer, heart disease, and neurologic disorders.One major paradigm shift that has occurred since the turn of the millennium has been toward multimodality instrumentation. Vir-tually all PET scanners, and a rapidly growing number of SPECT systems, are now inte-grated with a CT scanner in combined PET/CT and SPECT/CT congurations. These systems enable the facile correlation of struc-ture (CT) and function (PET or SPECT), yielding better diagnostic insight in many clinical situations. The combination of 208 Physics in Nuclear Medicine FIGURE 13-15 Example of a compact, mobile gamma camera system. A, The gamma camera head is attached to a cantilevered arm for easy and exible positioning. B, Pixellated NaI(Tl) scintillator array that is coupled to small position-sensitive photomultiplier tubes to form the detector head. Each element in the array is approximately 2  2 mm and is sepa-rated from its neighbor by a reective mate-rial. The inset shows a magnied view of the pixel elements. C, Clinical images of a breast cancer patient acquired with this camera following the injection of 99mTc-sestamibi. A tumor is seen as a hot spot against the low background uptake of the normal breast. (Photographs and images courtesy Dilon Tech-nologies, Inc., Annapolis, MD.) A B CLateralMedialSuperior Left craniocaudalLeft lateralInferiorcollimators to provide high spatial resolution. Tomographic small animal imaging systems based on this approach are discussed in Chapter 17, Section A.3.REFERENCE1. Anger"
What is the advantage of combined PET/CT and SPECT/CT imaging systems over standalone modalities?,"The text states that virtually all PET scanners and a rapidly growing number of SPECT systems are now integrated with a CT scanner in combined PET/CT and SPECT/CT configurations. These multimodality systems enable the correlation of structural information from CT with functional information from PET or SPECT, yielding better diagnostic insight in many clinical situations by combining anatomical and physiological data.","medicine cameras capable of imaging gamma-ray-emitting radionuclides installed in hospitals across the world. Even many small hospitals have their own nuclear medi-cine clinic. There also were more than 3,000 PET scanners installed in the world perform-ing on the order of 4 million procedures *Data courtesy Society of Nuclear Medicine, Reston, Virginia.Data courtesy Siemens Molecular Imaging, Hoffman Estates, Illinois. 1  What Is Nuclear Medicine?5 annually. The short half-lives of the most commonly used positron-emitting radionu-clides require an onsite accelerator or deliv-ery of PET radiopharmaceuticals from regional radiopharmacies. To meet this need, there is now a PET radiopharmacy within 100 miles of approximately 90% of the hospital beds in the United States. The growth of clinical PET has been driven by the utility of a metabolic tracer, 18F-uorodeoxyglucose, which has widespread applications in cancer, heart disease, and neurologic disorders.One major paradigm shift that has occurred since the turn of the millennium has been toward multimodality instrumentation. Vir-tually all PET scanners, and a rapidly growing number of SPECT systems, are now inte-grated with a CT scanner in combined PET/CT and SPECT/CT congurations. These systems enable the facile correlation of struc-ture (CT) and function (PET or SPECT), yielding better diagnostic insight in many clinical situations. The combination of 208 Physics in Nuclear Medicine FIGURE 13-15 Example of a compact, mobile gamma camera system. A, The gamma camera head is attached to a cantilevered arm for easy and exible positioning. B, Pixellated NaI(Tl) scintillator array that is coupled to small position-sensitive photomultiplier tubes to form the detector head. Each element in the array is approximately 2  2 mm and is sepa-rated from its neighbor by a reective mate-rial. The inset shows a magnied view of the pixel elements. C, Clinical images of a breast cancer patient acquired with this camera following the injection of 99mTc-sestamibi. A tumor is seen as a hot spot against the low background uptake of the normal breast. (Photographs and images courtesy Dilon Tech-nologies, Inc., Annapolis, MD.) A B CLateralMedialSuperior Left craniocaudalLeft lateralInferiorcollimators to provide high spatial resolution. Tomographic small animal imaging systems based on this approach are discussed in Chapter 17, Section A.3.REFERENCE1. Anger"
